日期,車種車次,出發時間,抵達時間,經由,訂票
2022-01-17,區間 3187,10:21,10:56,山線,不可
2022-01-17,區間 2143,10:46,11:29,山線,不可
2022-01-17,莒光 507,11:03,11:36,海線,可
2022-01-17,區間 3197,11:21,11:55,山線,不可
2022-01-17,區間 2153,11:57,12:31,山線,不可
2022-01-17,區間 3207,12:18,12:52,山線,不可
2022-01-17,莒光 511,12:41,13:12,海線,可
2022-01-17,區間 2163,12:47,13:21,山線,不可
2022-01-17,區間 3217,13:12,13:46,山線,不可
2022-01-17,區間 2173,13:45,14:19,山線,不可
2022-01-17,區間 3227,14:12,14:46,山線,不可
2022-01-17,莒光 513,14:41,15:12,海線,可
2022-01-17,區間 2183,14:51,15:25,山線,不可
2022-01-17,區間 3237,15:28,16:08,山線,不可
